Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,184.0,184.0,184.0,184.0,184.0,0.0
2019-01-01,184.0,184.0,184.0,184.0,184.0,0.0
2019-01-02,189.0,199.0,176.0,188.0,188.0,664200.0
2019-01-03,188.0,188.0,178.0,182.0,182.0,296500.0
2019-01-04,182.0,187.0,180.0,183.0,183.0,409100.0
2019-01-07,188.0,195.0,170.0,178.0,178.0,351700.0
2019-01-08,182.0,189.0,175.0,180.0,180.0,587000.0
2019-01-09,186.0,186.0,175.0,175.0,175.0,124500.0
2019-01-10,183.0,183.0,175.0,179.0,179.0,158700.0
2019-01-11,180.0,182.0,177.0,180.0,180.0,306900.0
2019-01-14,180.0,194.0,171.0,181.0,181.0,605900.0
2019-01-15,186.0,186.0,175.0,178.0,178.0,588200.0
2019-01-16,184.0,184.0,175.0,176.0,176.0,672200.0
2019-01-17,178.0,183.0,175.0,180.0,180.0,121300.0
2019-01-18,190.0,190.0,174.0,175.0,175.0,80400.0
2019-01-21,177.0,178.0,169.0,175.0,175.0,166300.0
2019-01-22,177.0,177.0,170.0,175.0,175.0,67100.0
2019-01-23,170.0,172.0,159.0,167.0,167.0,391500.0
2019-01-24,167.0,167.0,165.0,166.0,166.0,31500.0
2019-01-25,166.0,166.0,166.0,166.0,166.0,0.0
2019-01-28,174.0,175.0,167.0,169.0,169.0,13300.0
2019-01-29,169.0,173.0,165.0,171.0,171.0,93500.0
2019-01-30,171.0,171.0,166.0,167.0,167.0,25100.0
2019-01-31,167.0,167.0,167.0,167.0,167.0,0.0
2019-02-01,168.0,171.0,168.0,171.0,171.0,60200.0
2019-02-04,168.0,169.0,168.0,169.0,169.0,4600.0
2019-02-05,169.0,169.0,169.0,169.0,169.0,0.0
2019-02-06,168.0,168.0,165.0,166.0,166.0,87400.0
2019-02-07,167.0,170.0,166.0,169.0,169.0,4500.0
2019-02-08,169.0,169.0,169.0,169.0,169.0,0.0
2019-02-11,165.0,167.0,164.0,164.0,164.0,32300.0
2019-02-12,165.0,165.0,165.0,165.0,165.0,19200.0
2019-02-13,165.0,168.0,165.0,168.0,168.0,1800.0
2019-02-14,166.0,166.0,164.0,166.0,166.0,300.0
2019-02-15,166.0,166.0,165.0,165.0,165.0,2100.0
2019-02-18,166.0,166.0,163.0,163.0,163.0,300.0
2019-02-19,164.0,169.0,164.0,168.0,168.0,3100.0
2019-02-20,164.0,167.0,163.0,167.0,167.0,8900.0
2019-02-21,167.0,167.0,165.0,167.0,167.0,107500.0
2019-02-22,167.0,167.0,167.0,167.0,167.0,0.0
2019-02-25,167.0,167.0,165.0,165.0,165.0,1700.0
